starting with cluster address: emqx.dtwins:18083
cluster user set to: my-app and cluster password set to: AAA4A275-BEEC-4AF8-B70B-DAAC0341F8EB
kubernetes api address set to: someaddress:6443
max queue set to: 1000 and max inflight set to: 32
date: 2024-12-13 01:12:00.577563 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-13 01:19:38.403224 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=65, avg=65.00, max=32
date: 2024-12-13 01:19:49.450563 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=60, avg=60.00, max=32
date: 2024-12-13 01:20:03.634596 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=65, avg=65.00, max=32
date: 2024-12-13 01:20:18.085697 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=73, avg=73.00, max=32
date: 2024-12-13 01:20:29.557671 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=78, avg=78.00, max=32
date: 2024-12-13 01:20:41.209777 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=74, avg=74.00, max=32
date: 2024-12-13 01:20:52.707180 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=61, avg=61.00, max=32
date: 2024-12-13 01:21:04.114255 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=57, avg=57.00, max=32
date: 2024-12-13 01:21:15.206752 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=59, avg=59.00, max=32
date: 2024-12-13 01:21:29.272515 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=56, avg=56.00, max=32
date: 2024-12-13 01:21:43.636974 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=50, avg=50.00, max=32
date: 2024-12-13 01:21:54.699757 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=70, avg=70.00, max=32
date: 2024-12-13 01:22:06.318839 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=80, avg=80.00, max=32
date: 2024-12-13 01:22:17.792660 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=66, avg=66.00, max=32
date: 2024-12-13 01:22:28.950611 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=60, avg=60.00, max=32
date: 2024-12-13 01:22:40.381064 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=58, avg=58.00, max=32
date: 2024-12-13 01:22:54.444476 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=69, avg=69.00, max=32
date: 2024-12-13 01:23:08.887945 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=66, avg=66.00, max=32
date: 2024-12-13 01:23:19.946028 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=56, avg=56.00, max=32
date: 2024-12-13 01:23:31.043227 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=56, avg=56.00, max=32
date: 2024-12-13 01:23:42.397346 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=58, avg=58.00, max=32
date: 2024-12-13 01:23:53.881169 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=50, avg=50.00, max=32
date: 2024-12-13 01:24:05.132035 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=51, avg=51.00, max=32
date: 2024-12-13 01:24:16.498726 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=51, avg=51.00, max=32
date: 2024-12-13 01:24:30.351454 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=39, avg=39.00, max=32
date: 2024-12-13 01:24:41.550794 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=29, avg=29.00, max=32
date: 2024-12-13 01:24:52.410377 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=40, avg=40.00, max=32
date: 2024-12-13 01:25:03.198530 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=43, avg=43.00, max=32
date: 2024-12-13 01:25:14.190451 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=39, avg=39.00, max=32
date: 2024-12-13 01:25:24.907856 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=36, avg=36.00, max=32
date: 2024-12-13 01:25:35.968651 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=39, avg=39.00, max=32
date: 2024-12-13 01:25:49.709986 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=36, avg=36.00, max=32
date: 2024-12-13 01:26:00.424625 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=37, avg=37.00, max=32
date: 2024-12-13 01:26:11.367478 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=25, avg=25.00, max=32
date: 2024-12-13 01:26:22.417317 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=26, avg=26.00, max=32
date: 2024-12-13 01:26:33.372679 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=44, avg=44.00, max=32
date: 2024-12-13 01:26:44.014484 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=56, avg=56.00, max=32
date: 2024-12-13 01:26:54.655328 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=106, avg=106.00, max=32
date: 2024-12-13 01:27:08.448417 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=69, avg=69.00, max=32
date: 2024-12-13 01:27:19.301987 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=65, avg=65.00, max=32
date: 2024-12-13 01:27:29.943663 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=71, avg=71.00, max=32
date: 2024-12-13 01:27:41.017638 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=107, avg=107.00, max=32
date: 2024-12-13 01:27:51.897188 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=48, avg=48.00, max=32
date: 2024-12-13 01:28:02.576780 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=42, avg=42.00, max=32
date: 2024-12-13 01:28:16.229279 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=68, avg=68.00, max=32
date: 2024-12-13 01:28:28.667430 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=109, avg=109.00, max=32
date: 2024-12-13 01:28:39.314824 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=90, avg=90.00, max=32
date: 2024-12-13 01:28:50.135588 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=68, avg=68.00, max=32
date: 2024-12-13 01:29:01.077582 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=21, avg=21.00, max=32
date: 2024-12-13 01:29:11.723722 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=39, avg=39.00, max=32
date: 2024-12-13 01:29:22.359747 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=76, avg=76.00, max=32
date: 2024-12-13 01:29:36.211757 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=71, avg=71.00, max=32
date: 2024-12-13 01:29:47.838747 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=36, avg=36.00, max=32
date: 2024-12-13 01:29:58.722019 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=34, avg=34.00, max=32
date: 2024-12-13 01:30:09.382143 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=68, avg=68.00, max=32
date: 2024-12-13 01:30:20.217494 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=53, avg=53.00, max=32
date: 2024-12-13 01:30:31.154071 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=47, avg=47.00, max=32
date: 2024-12-13 01:30:41.793180 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=73, avg=73.00, max=32
date: 2024-12-13 01:30:55.440762 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=98, avg=98.00, max=32
date: 2024-12-13 01:31:06.090996 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=40, avg=40.00, max=32
date: 2024-12-13 01:31:16.810391 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=42, avg=42.00, max=32
date: 2024-12-13 01:31:27.481812 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=75, avg=75.00, max=32
date: 2024-12-13 01:31:38.420990 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=100, avg=100.00, max=32
date: 2024-12-13 01:31:49.061540 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=65, avg=65.00, max=32
date: 2024-12-13 01:32:00.036071 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=115, avg=115.00, max=32
date: 2024-12-13 01:32:13.998736 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=49, avg=49.00, max=32
date: 2024-12-13 01:32:24.715579 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=60, avg=60.00, max=32
date: 2024-12-13 01:32:35.367437 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=51, avg=51.00, max=32
date: 2024-12-13 01:32:46.271185 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=48, avg=48.00, max=32
date: 2024-12-13 01:32:56.915580 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=25, avg=25.00, max=32
date: 2024-12-13 01:33:07.908071 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=33, avg=33.00, max=32
date: 2024-12-13 01:33:18.625476 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=26, avg=26.00, max=32
date: 2024-12-13 01:33:32.269676 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=53, avg=53.00, max=32
date: 2024-12-13 01:33:42.925169 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=67, avg=67.00, max=32
date: 2024-12-13 01:33:53.768198 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=51, avg=51.00, max=32
date: 2024-12-13 01:34:04.412946 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=73, avg=73.00, max=32
date: 2024-12-13 01:34:15.082763 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=102, avg=102.00, max=32
date: 2024-12-13 01:34:26.107770 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=88, avg=88.00, max=32
date: 2024-12-13 01:34:36.842012 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=70, avg=70.00, max=32
date: 2024-12-13 01:34:50.480137 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=75, avg=75.00, max=32
date: 2024-12-13 01:35:01.180382 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=87, avg=87.00, max=32
date: 2024-12-13 01:35:12.126543 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=43, avg=43.00, max=32
date: 2024-12-13 01:35:22.798976 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=45, avg=45.00, max=32
date: 2024-12-13 01:35:33.530547 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=42, avg=42.00, max=32
date: 2024-12-13 01:35:44.180112 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=50, avg=50.00, max=32
date: 2024-12-13 01:35:54.820486 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=66, avg=66.00, max=32
date: 2024-12-13 01:36:08.759227 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=42, avg=42.00, max=32
date: 2024-12-13 01:36:19.463706 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=52, avg=52.00, max=32
date: 2024-12-13 01:36:30.304321 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=57, avg=57.00, max=32
date: 2024-12-13 01:36:41.263313 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=33, avg=33.00, max=32
date: 2024-12-13 01:36:52.086068 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=25, avg=25.00, max=32
date: 2024-12-13 01:37:02.743440 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=48, avg=48.00, max=32
date: 2024-12-13 01:37:16.554192 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=48, avg=48.00, max=32
date: 2024-12-13 01:37:29.880378 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=24, avg=24.00, max=32
date: 2024-12-13 01:37:40.578657 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=21, avg=21.00, max=32
date: 2024-12-13 01:37:51.372052 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=33, avg=33.00, max=32
date: 2024-12-13 01:38:02.155776 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=30, avg=30.00, max=32
date: 2024-12-13 01:38:12.915092 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=29, avg=29.00, max=32
date: 2024-12-13 01:38:23.749765 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=22, avg=22.00, max=32
date: 2024-12-13 01:38:37.332435 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=25, avg=25.00, max=32
date: 2024-12-13 01:38:48.055593 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=27, avg=27.00, max=32
date: 2024-12-13 01:38:58.606906 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=24, avg=24.00, max=32
date: 2024-12-13 01:39:09.162875 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=29, avg=29.00, max=32
date: 2024-12-13 01:39:19.721299 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=36, avg=36.00, max=32
date: 2024-12-13 01:39:30.393135 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=29, avg=29.00, max=32
date: 2024-12-13 01:39:41.067255 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=20, avg=20.00, max=32
date: 2024-12-13 01:39:54.614174 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=20, avg=20.00, max=32
date: 2024-12-13 01:40:05.168989 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=30, avg=30.00, max=32
date: 2024-12-13 01:40:15.726939 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=34, avg=34.00, max=32
date: 2024-12-13 01:40:26.279404 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=27, avg=27.00, max=32
date: 2024-12-13 01:40:36.842619 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-13 01:40:47.387934 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=21, avg=21.00, max=32
date: 2024-12-13 01:40:57.946494 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=32, avg=32.00, max=32
date: 2024-12-13 01:41:11.632698 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=29, avg=29.00, max=32
date: 2024-12-13 01:41:22.309737 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=25, avg=25.00, max=32
date: 2024-12-13 01:41:33.041492 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=28, avg=28.00, max=32
date: 2024-12-13 01:41:43.719057 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=24, avg=24.00, max=32
date: 2024-12-13 01:41:54.273366 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=26, avg=26.00, max=32
date: 2024-12-13 01:42:04.819346 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=27, avg=27.00, max=32
date: 2024-12-13 01:42:18.594627 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=25, avg=25.00, max=32
date: 2024-12-13 01:42:29.309678 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=25, avg=25.00, max=32
date: 2024-12-13 01:42:39.972374 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=19, avg=19.00, max=32
date: 2024-12-13 01:42:50.727794 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=16, avg=16.00, max=32
date: 2024-12-13 01:43:01.432014 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=22, avg=22.00, max=32
date: 2024-12-13 01:43:11.980460 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=19, avg=19.00, max=32
date: 2024-12-13 01:43:22.661929 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=19, avg=19.00, max=32
date: 2024-12-13 01:43:36.344471 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=25, avg=25.00, max=32
date: 2024-12-13 01:43:47.016029 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=31, avg=31.00, max=32
date: 2024-12-13 01:43:57.696665 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=27, avg=27.00, max=32
date: 2024-12-13 01:44:08.300082 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=27, avg=27.00, max=32
date: 2024-12-13 01:44:18.853944 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=21, avg=21.00, max=32
date: 2024-12-13 01:44:29.402114 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=31, avg=31.00, max=32
date: 2024-12-13 01:44:40.087613 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=29, avg=29.00, max=32
date: 2024-12-13 01:44:53.781097 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=21, avg=21.00, max=32
date: 2024-12-13 01:45:04.335607 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=20, avg=20.00, max=32
date: 2024-12-13 01:45:15.096254 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=24, avg=24.00, max=32
date: 2024-12-13 01:45:25.845456 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=29, avg=29.00, max=32
date: 2024-12-13 01:45:36.517957 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=29, avg=29.00, max=32
date: 2024-12-13 01:45:47.193867 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=29, avg=29.00, max=32
date: 2024-12-13 01:45:57.893686 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=24, avg=24.00, max=32
date: 2024-12-13 01:46:10.370051 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=25, avg=25.00, max=32
date: 2024-12-13 01:46:20.929780 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=26, avg=26.00, max=32
date: 2024-12-13 01:46:31.606981 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=31, avg=31.00, max=32
date: 2024-12-13 01:46:42.150980 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=20, avg=20.00, max=32
date: 2024-12-13 01:46:52.710904 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=17, avg=17.00, max=32
date: 2024-12-13 01:47:03.556188 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=25, avg=25.00, max=32
date: 2024-12-13 01:47:17.211264 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=24, avg=24.00, max=32
date: 2024-12-13 01:47:27.900777 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=25, avg=25.00, max=32
date: 2024-12-13 01:47:38.501737 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=26, avg=26.00, max=32
date: 2024-12-13 01:47:49.040622 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=28, avg=28.00, max=32
date: 2024-12-13 01:47:59.597278 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=29, avg=29.00, max=32
date: 2024-12-13 01:48:10.141966 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=27, avg=27.00, max=32
date: 2024-12-13 01:48:20.880367 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=20, avg=20.00, max=32
