starting with cluster address: emqx.dtwins:18083
cluster user set to: my-app and cluster password set to: AAA4A275-BEEC-4AF8-B70B-DAAC0341F8EB
kubernetes api address set to: someaddress:6443
max queue set to: 1000 and max inflight set to: 32
date: 2024-12-12 18:03:18.635757 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:11:07.134615 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=38, avg=38.00, max=32
date: 2024-12-12 18:11:17.779995 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=42, avg=42.00, max=32
date: 2024-12-12 18:11:31.807356 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=51, avg=51.00, max=32
date: 2024-12-12 18:11:42.471431 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=46, avg=46.00, max=32
date: 2024-12-12 18:11:53.415139 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=37, avg=37.00, max=32
date: 2024-12-12 18:12:04.064098 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=39, avg=39.00, max=32
date: 2024-12-12 18:12:14.689176 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=34, avg=34.00, max=32
date: 2024-12-12 18:12:25.378131 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=43, avg=43.00, max=32
date: 2024-12-12 18:12:36.061157 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=43, avg=43.00, max=32
date: 2024-12-12 18:12:49.712083 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=41, avg=41.00, max=32
date: 2024-12-12 18:13:00.431282 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=39, avg=39.00, max=32
date: 2024-12-12 18:13:11.483548 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=45, avg=45.00, max=32
date: 2024-12-12 18:13:22.484261 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=42, avg=42.00, max=32
date: 2024-12-12 18:13:33.415006 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=43, avg=43.00, max=32
date: 2024-12-12 18:13:44.284186 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=54, avg=54.00, max=32
date: 2024-12-12 18:13:57.976668 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=51, avg=51.00, max=32
date: 2024-12-12 18:14:08.801895 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=39, avg=39.00, max=32
date: 2024-12-12 18:14:19.333291 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=32, avg=32.00, max=32
date: 2024-12-12 18:14:29.839845 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=29, avg=29.00, max=32
date: 2024-12-12 18:14:40.381310 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=31, avg=31.00, max=32
date: 2024-12-12 18:14:50.889672 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=18, avg=18.00, max=32
date: 2024-12-12 18:15:01.546440 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=23, avg=23.00, max=32
date: 2024-12-12 18:15:12.892789 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=22, avg=22.00, max=32
date: 2024-12-12 18:15:23.421798 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=16, avg=16.00, max=32
date: 2024-12-12 18:15:34.018286 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=24, avg=24.00, max=32
date: 2024-12-12 18:15:44.421863 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=17, avg=17.00, max=32
date: 2024-12-12 18:15:54.792055 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=14, avg=14.00, max=32
date: 2024-12-12 18:16:05.355631 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=13, avg=13.00, max=32
date: 2024-12-12 18:16:18.717617 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=8, avg=8.00, max=32
date: 2024-12-12 18:16:29.055009 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=9, avg=9.00, max=32
date: 2024-12-12 18:16:39.418977 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=14, avg=14.00, max=32
date: 2024-12-12 18:16:49.781751 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=6, avg=6.00, max=32
date: 2024-12-12 18:17:00.298957 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 18:17:10.800627 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 18:17:24.190339 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=10, avg=10.00, max=32
date: 2024-12-12 18:17:34.673150 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=12, avg=12.00, max=32
date: 2024-12-12 18:17:45.185977 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=10, avg=10.00, max=32
date: 2024-12-12 18:17:55.679317 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=10, avg=10.00, max=32
date: 2024-12-12 18:18:06.099264 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 18:18:16.513273 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=14, avg=14.00, max=32
date: 2024-12-12 18:18:29.978611 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=11, avg=11.00, max=32
date: 2024-12-12 18:18:40.378924 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=19, avg=19.00, max=32
date: 2024-12-12 18:18:50.775900 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 18:19:01.176150 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=14, avg=14.00, max=32
date: 2024-12-12 18:19:11.566472 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 18:19:21.959854 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 18:19:32.330842 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=16, avg=16.00, max=32
date: 2024-12-12 18:19:42.721940 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=8, avg=8.00, max=32
date: 2024-12-12 18:19:53.097775 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=5, avg=5.00, max=32
date: 2024-12-12 18:20:03.670084 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=11, avg=11.00, max=32
date: 2024-12-12 18:20:14.039113 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=16, avg=16.00, max=32
date: 2024-12-12 18:20:24.410073 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=11, avg=11.00, max=32
date: 2024-12-12 18:20:34.769632 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=11, avg=11.00, max=32
date: 2024-12-12 18:20:48.157698 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=10, avg=10.00, max=32
date: 2024-12-12 18:20:58.512624 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=10, avg=10.00, max=32
date: 2024-12-12 18:21:08.871669 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=12, avg=12.00, max=32
date: 2024-12-12 18:21:19.236392 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=17, avg=17.00, max=32
date: 2024-12-12 18:21:29.696811 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=7, avg=7.00, max=32
date: 2024-12-12 18:21:40.100535 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=8, avg=8.00, max=32
date: 2024-12-12 18:21:53.493284 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=9, avg=9.00, max=32
date: 2024-12-12 18:22:03.866241 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=13, avg=13.00, max=32
date: 2024-12-12 18:22:14.233685 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 18:22:24.695947 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=10, avg=10.00, max=32
date: 2024-12-12 18:22:35.099703 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=10, avg=10.00, max=32
date: 2024-12-12 18:22:45.607618 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=12, avg=12.00, max=32
date: 2024-12-12 18:22:56.127385 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=11, avg=11.00, max=32
date: 2024-12-12 18:23:06.485542 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 18:23:16.943635 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=16, avg=16.00, max=32
date: 2024-12-12 18:23:27.338074 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 18:23:37.912952 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=12, avg=12.00, max=32
date: 2024-12-12 18:23:48.369621 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=14, avg=14.00, max=32
date: 2024-12-12 18:23:58.875794 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 18:24:12.273568 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 18:24:22.753560 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=16, avg=16.00, max=32
date: 2024-12-12 18:24:33.217102 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 18:24:43.669917 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=17, avg=17.00, max=32
date: 2024-12-12 18:24:54.128542 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=11, avg=11.00, max=32
date: 2024-12-12 18:25:04.641826 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=14, avg=14.00, max=32
date: 2024-12-12 18:25:18.008071 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=17, avg=17.00, max=32
date: 2024-12-12 18:25:28.539725 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=14, avg=14.00, max=32
date: 2024-12-12 18:25:38.984383 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=12, avg=12.00, max=32
date: 2024-12-12 18:25:49.527986 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 18:26:00.096448 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=9, avg=9.00, max=32
date: 2024-12-12 18:26:10.494842 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=13, avg=13.00, max=32
date: 2024-12-12 18:26:24.053212 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=10, avg=10.00, max=32
date: 2024-12-12 18:26:34.514407 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=9, avg=9.00, max=32
date: 2024-12-12 18:26:45.021806 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=11, avg=11.00, max=32
date: 2024-12-12 18:26:55.424150 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=12, avg=12.00, max=32
date: 2024-12-12 18:27:05.851393 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=14, avg=14.00, max=32
date: 2024-12-12 18:27:16.259411 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 18:27:26.781104 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=8, avg=8.00, max=32
date: 2024-12-12 18:27:37.159450 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=18, avg=18.00, max=32
date: 2024-12-12 18:27:47.635452 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=16, avg=16.00, max=32
date: 2024-12-12 18:27:58.117144 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=10, avg=10.00, max=32
date: 2024-12-12 18:28:08.473569 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=16, avg=16.00, max=32
date: 2024-12-12 18:28:18.963543 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=12, avg=12.00, max=32
date: 2024-12-12 18:28:29.439889 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=9, avg=9.00, max=32
date: 2024-12-12 18:28:42.910830 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=12, avg=12.00, max=32
date: 2024-12-12 18:28:53.269109 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=12, avg=12.00, max=32
date: 2024-12-12 18:29:03.642330 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=14, avg=14.00, max=32
date: 2024-12-12 18:29:13.998966 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=11, avg=11.00, max=32
date: 2024-12-12 18:29:24.471804 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=14, avg=14.00, max=32
date: 2024-12-12 18:29:34.951981 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=12, avg=12.00, max=32
date: 2024-12-12 18:29:45.428237 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=17, avg=17.00, max=32
date: 2024-12-12 18:29:55.841760 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=18, avg=18.00, max=32
date: 2024-12-12 18:30:06.329354 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=13, avg=13.00, max=32
date: 2024-12-12 18:30:16.638868 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=13, avg=13.00, max=32
date: 2024-12-12 18:30:26.925278 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=12, avg=12.00, max=32
date: 2024-12-12 18:30:37.275345 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=16, avg=16.00, max=32
date: 2024-12-12 18:30:47.674701 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=15, avg=15.00, max=32
date: 2024-12-12 18:30:57.863195 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=12, avg=12.00, max=32
date: 2024-12-12 18:31:07.973957 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=6, avg=6.00, max=32
date: 2024-12-12 18:31:18.031142 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=32
date: 2024-12-12 18:31:28.075309 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:31:38.117690 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:31:48.160546 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:31:58.203278 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:32:08.246848 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:32:18.289695 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:32:28.332817 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:32:38.374918 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:32:48.418554 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:32:58.462697 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:33:08.506013 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:33:18.549490 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:33:28.591895 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:33:38.635783 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:33:48.678898 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:33:58.725022 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:34:08.767012 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:34:18.810426 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:34:28.852644 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:34:38.895452 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:34:48.938152 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:34:58.981818 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:35:09.024640 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:35:19.067834 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:35:29.109818 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:35:39.149911 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:35:49.193389 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:35:59.236855 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:36:09.278086 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:36:19.321744 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:36:29.364420 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:36:39.407191 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:36:49.448652 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:36:59.492385 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:37:09.534100 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:37:19.576767 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
date: 2024-12-12 18:37:29.618671 |Cluster size: 1 |Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=32
